-------------------- SEQUENTIAL -----------------------
Requisitions: 200 | Time elapsed: 108200 ms | 108.2 s
Requisitions: 200 | Time elapsed: 104858 ms | 104.858 s
Requisitions: 200 | Time elapsed: 108929 ms | 108.929 s
Requisitions: 200 | Time elapsed: 108871 ms | 108.871 s
Requisitions: 200 | Time elapsed: 105154 ms | 105.154 s
Requisitions: 200 | Time elapsed: 106637 ms | 106.637 s
Requisitions: 200 | Time elapsed: 118332 ms | 118.332 s
Requisitions: 200 | Time elapsed: 105796 ms | 105.796 s
Requisitions: 200 | Time elapsed: 104963 ms | 104.963 s
Requisitions: 200 | Time elapsed: 104226 ms | 104.226 s
Requisitions: 200 | Time elapsed: 106215 ms | 106.215 s
Requisitions: 200 | Time elapsed: 107308 ms | 107.308 s
Requisitions: 200 | Time elapsed: 149085 ms | 149.085 s
Requisitions: 200 | Time elapsed: 108411 ms | 108.411 s
Requisitions: 200 | Time elapsed: 111264 ms | 111.264 s
Requisitions: 200 | Time elapsed: 108266 ms | 108.266 s
Requisitions: 200 | Time elapsed: 110925 ms | 110.925 s
Requisitions: 200 | Time elapsed: 128972 ms | 128.972 s

Requisitions: 500 | Time elapsed: 254058 ms | 254.058 s
Requisitions: 500 | Time elapsed: 259680 ms | 259.68 s
Requisitions: 500 | Time elapsed: 256941 ms | 256.941 s
Requisitions: 500 | Time elapsed: 260044 ms | 260.044 s
Requisitions: 500 | Time elapsed: 256191 ms | 256.191 s
Requisitions: 500 | Time elapsed: 256104 ms | 256.104 s
Requisitions: 500 | Time elapsed: 254249 ms | 254.249 s
Requisitions: 500 | Time elapsed: 268349 ms | 268.349 s
Requisitions: 500 | Time elapsed: 258042 ms | 258.042 s
Requisitions: 500 | Time elapsed: 257137 ms | 257.137 s
Requisitions: 500 | Time elapsed: 254260 ms | 254.26 s
Requisitions: 500 | Time elapsed: 268079 ms | 268.079 s
Requisitions: 500 | Time elapsed: 256808 ms | 256.808 s
Requisitions: 500 | Time elapsed: 255260 ms | 255.26 s
Requisitions: 500 | Time elapsed: 257210 ms | 257.21 s
Requisitions: 500 | Time elapsed: 317733 ms | 317.733 s
Requisitions: 500 | Time elapsed: 255477 ms | 255.477 s
Requisitions: 500 | Time elapsed: 270327 ms | 270.327 s
Requisitions: 500 | Time elapsed: 254865 ms | 254.865 s
Requisitions: 500 | Time elapsed: 254047 ms | 254.047 s
