-------------------- CONCURRENCE -----------------------
Requisitions: 200 | Time elapsed: 27064 ms | 27.064 s
Requisitions: 200 | Time elapsed: 26281 ms | 26.281 s
Requisitions: 200 | Time elapsed: 26509 ms | 26.509 s
Requisitions: 200 | Time elapsed: 31557 ms | 31.557 s
Requisitions: 200 | Time elapsed: 26293 ms | 26.293 s
Requisitions: 200 | Time elapsed: 26777 ms | 26.777 s
Requisitions: 200 | Time elapsed: 26302 ms | 26.302 s
Requisitions: 200 | Time elapsed: 26765 ms | 26.765 s
Requisitions: 200 | Time elapsed: 27409 ms | 27.409 s
Requisitions: 200 | Time elapsed: 26543 ms | 26.543 s
Requisitions: 200 | Time elapsed: 26518 ms | 26.518 s
Requisitions: 200 | Time elapsed: 26137 ms | 26.137 s
Requisitions: 200 | Time elapsed: 27275 ms | 27.275 s
Requisitions: 200 | Time elapsed: 27421 ms | 27.421 s

Requisitions: 500 | Time elapsed: 62992 ms | 62.992 s
Requisitions: 500 | Time elapsed: 66261 ms | 66.261 s
Requisitions: 500 | Time elapsed: 67390 ms | 67.39 s
Requisitions: 500 | Time elapsed: 66788 ms | 66.788 s
Requisitions: 500 | Time elapsed: 65827 ms | 65.827 s
Requisitions: 500 | Time elapsed: 65204 ms | 65.204 s
Requisitions: 500 | Time elapsed: 66434 ms | 66.434 s
Requisitions: 500 | Time elapsed: 65945 ms | 65.945 s
Requisitions: 500 | Time elapsed: 65666 ms | 65.666 s
Requisitions: 500 | Time elapsed: 66219 ms | 66.219 s
Requisitions: 500 | Time elapsed: 66632 ms | 66.632 s
Requisitions: 500 | Time elapsed: 67370 ms | 67.37 s
Requisitions: 500 | Time elapsed: 67645 ms | 67.645 s
Requisitions: 500 | Time elapsed: 67046 ms | 67.046 s
Requisitions: 500 | Time elapsed: 67822 ms | 67.822 s
Requisitions: 500 | Time elapsed: 66834 ms | 66.834 s
Requisitions: 500 | Time elapsed: 70775 ms | 70.775 s
Requisitions: 500 | Time elapsed: 67256 ms | 67.256 s
Requisitions: 500 | Time elapsed: 68751 ms | 68.751 s

